created_at,entry_id,indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity,delta_temp,indoor_temp_smooth,indoor_humidity_smooth,THI,discomfort,too_cold,humidity_change,humidity_spike,temp_change,temp_spike
2025-12-10 14:57:00+00:00,10957,20.79,45.24,12.8,65.0,7.989999999999998,20.823666666666668,45.01366666666667,18.895577799999998,False,False,0.0,False,-0.010000000000001563,False
2025-12-10 14:58:00+00:00,10958,20.78,45.28,12.8,65.0,7.98,20.821,45.019,18.8899712,False,False,0.03999999999999915,False,-0.00999999999999801,False
2025-12-10 14:59:01+00:00,10959,20.79,45.2,12.8,65.0,7.989999999999998,20.81933333333333,45.026,18.894194,False,False,-0.0799999999999983,False,0.00999999999999801,False
2025-12-10 15:00:00+00:00,10960,20.77,45.18,12.8,65.0,7.969999999999999,20.816666666666663,45.03566666666666,18.8795323,False,False,-0.020000000000003126,False,-0.019999999999999574,False
2025-12-10 15:01:02+00:00,10961,20.77,45.22,12.8,66.0,7.969999999999999,20.81433333333333,45.04666666666666,18.8809117,False,False,0.03999999999999915,False,0.0,False
2025-12-10 15:02:00+00:00,10962,20.76,45.16,12.8,66.0,7.960000000000001,20.811666666666667,45.05466666666667,18.871858800000002,False,False,-0.060000000000002274,False,-0.00999999999999801,False
2025-12-10 15:03:00+00:00,10963,20.77,45.15,12.8,66.0,7.969999999999999,20.80933333333333,45.061,18.87849775,False,False,-0.00999999999999801,False,0.00999999999999801,False
2025-12-10 15:04:00+00:00,10964,20.73,45.23,12.8,66.0,7.93,20.80566666666667,45.07333333333333,18.85330595,False,False,0.0799999999999983,False,-0.03999999999999915,False
2025-12-10 15:05:00+00:00,10965,20.75,45.32,12.8,66.0,7.949999999999999,20.802333333333333,45.08866666666667,18.870375,False,False,0.09000000000000341,False,0.019999999999999574,False
2025-12-10 15:06:00+00:00,10966,20.73,45.29,12.8,66.0,7.93,20.798666666666666,45.10166666666667,18.85536185,False,False,-0.030000000000001137,False,-0.019999999999999574,False
2025-12-10 15:07:00+00:00,10967,20.73,45.19,12.8,66.0,7.93,20.795,45.11033333333333,18.851935349999998,False,False,-0.10000000000000142,False,0.0,False
2025-12-10 15:08:00+00:00,10968,20.73,45.28,12.8,66.0,7.93,20.791,45.124,18.8550192,False,False,0.09000000000000341,False,0.0,False
2025-12-10 15:09:00+00:00,10969,20.73,45.3,12.8,66.0,7.93,20.787333333333333,45.13866666666667,18.8557045,False,False,0.01999999999999602,False,0.0,False
2025-12-10 15:10:00+00:00,10970,20.74,45.33,12.8,66.0,7.939999999999998,20.784333333333333,45.150333333333336,18.8637256,False,False,0.030000000000001137,False,0.00999999999999801,False
2025-12-10 15:11:00+00:00,10971,20.72,45.3,12.8,66.0,7.919999999999998,20.78033333333333,45.163,18.848713,False,False,-0.030000000000001137,False,-0.019999999999999574,False
2025-12-10 15:12:00+00:00,10972,20.72,45.3,12.8,66.0,7.919999999999998,20.776666666666664,45.17633333333333,18.848713,False,False,0.0,False,0.0,False
2025-12-10 15:13:00+00:00,10973,20.73,45.22,12.8,66.0,7.93,20.77333333333333,45.187,18.8529633,False,False,-0.0799999999999983,False,0.010000000000001563,False
2025-12-10 15:14:01+00:00,10974,20.72,45.11,12.8,66.0,7.919999999999998,20.769333333333336,45.188,18.8422131,False,False,-0.10999999999999943,False,-0.010000000000001563,False
2025-12-10 15:15:00+00:00,10975,20.7,45.18,12.8,66.0,7.899999999999999,20.76533333333333,45.193666666666665,18.830638,False,False,0.07000000000000028,False,-0.019999999999999574,False
2025-12-10 15:16:00+00:00,10976,20.69,45.2,12.6,67.0,8.090000000000002,20.760666666666665,45.199,18.824334,False,False,0.020000000000003126,False,-0.00999999999999801,False
2025-12-10 15:17:00+00:00,10977,20.71,45.25,12.6,67.0,8.110000000000001,20.75733333333333,45.20566666666666,18.84001375,False,False,0.04999999999999716,False,0.019999999999999574,False
